"","Survived","Pclass","Sex","Age","SibSp","Parch","Fare","Embarked","Title","Side","Deck"
"64","0","3","male",4,3,2,27.9,"S","Master",NA,""
"65","0","1","male",30,0,0,27.7208,"C","Mr",NA,""
"66","1","3","male",3.5,1,1,15.2458,"C","Master",NA,""
"67","1","2","female",29,0,0,10.5,"S","Mrs",NA,"F"
"68","0","3","male",19,0,0,8.1583,"S","Mr",NA,""
"69","1","3","female",17,4,2,7.925,"S","Miss",NA,""
"70","0","3","male",26,2,0,8.6625,"S","Mr",NA,""
"71","0","2","male",32,0,0,10.5,"S","Mr",NA,""
"72","0","3","female",16,5,2,46.9,"S","Miss",NA,""
"73","0","2","male",21,0,0,73.5,"S","Mr",NA,""
"74","0","3","male",26,1,0,14.4542,"C","Mr",NA,""
"75","1","3","male",32,0,0,56.4958,"S","Mr",NA,""
"76","0","3","male",25,0,0,7.65,"S","Mr",NA,"F"
"77","0","3","male",30,0,0,7.8958,"S","Mr",NA,""
"78","0","3","male",30,0,0,8.05,"S","Mr",NA,""
"79","1","2","male",0.83,0,2,29,"S","Master",NA,""
"80","1","3","female",30,0,0,12.475,"S","Miss",NA,""
"81","0","3","male",22,0,0,9,"S","Mr",NA,""
"82","1","3","male",29,0,0,9.5,"S","Mr",NA,""
"83","1","3","female",22,0,0,7.7875,"Q","Miss",NA,""
"84","0","1","male",28,0,0,47.1,"S","Mr",NA,""
"85","1","2","female",17,0,0,10.5,"S","Miss",NA,""
"86","1","3","female",33,3,0,15.85,"S","Mrs",NA,""
"87","0","3","male",16,1,3,34.375,"S","Mr",NA,""
"88","0","3","male",30,0,0,8.05,"S","Mr",NA,""
"89","1","1","female",23,3,2,263,"S","Miss",NA,"C"
"90","0","3","male",24,0,0,8.05,"S","Mr",NA,""
"91","0","3","male",29,0,0,8.05,"S","Mr",NA,""
"92","0","3","male",20,0,0,7.8542,"S","Mr",NA,""
"93","0","1","male",46,1,0,61.175,"S","Mr",NA,"E"
"94","0","3","male",26,1,2,20.575,"S","Mr",NA,""
"95","0","3","male",59,0,0,7.25,"S","Mr",NA,""
"96","0","3","male",30,0,0,8.05,"S","Mr",NA,""
"97","0","1","male",71,0,0,34.6542,"C","Mr",NA,"A"
"98","1","1","male",23,0,1,63.3583,"C","Mr",NA,"D"
"99","1","2","female",34,0,1,23,"S","Mrs",NA,""
"100","0","2","male",34,1,0,26,"S","Mr",NA,""
"101","0","3","female",28,0,0,7.8958,"S","Miss",NA,""
"102","0","3","male",30,0,0,7.8958,"S","Mr",NA,""
"103","0","1","male",21,0,1,77.2875,"S","Mr",NA,"D"
"104","0","3","male",33,0,0,8.6542,"S","Mr",NA,""
"105","0","3","male",37,2,0,7.925,"S","Mr",NA,""
"106","0","3","male",28,0,0,7.8958,"S","Mr",NA,""
"107","1","3","female",21,0,0,7.65,"S","Miss",NA,""
"108","1","3","male",30,0,0,7.775,"S","Mr",NA,""
"109","0","3","male",38,0,0,7.8958,"S","Mr",NA,""
"110","1","3","female",22,1,0,24.15,"Q","Miss",NA,""
"111","0","1","male",47,0,0,52,"S","Mr",NA,"C"
"112","0","3","female",14.5,1,0,14.4542,"C","Miss",NA,""
"113","0","3","male",22,0,0,8.05,"S","Mr",NA,""
"114","0","3","female",20,1,0,9.825,"S","Miss",NA,""
"115","0","3","female",17,0,0,14.4583,"C","Miss",NA,""
"116","0","3","male",21,0,0,7.925,"S","Mr",NA,""
"117","0","3","male",70.5,0,0,7.75,"Q","Mr",NA,""
"118","0","2","male",29,1,0,21,"S","Mr",NA,""
"119","0","1","male",24,0,1,247.5208,"C","Mr",NA,"B"
"120","0","3","female",2,4,2,31.275,"S","Miss",NA,""
"121","0","2","male",21,2,0,73.5,"S","Mr",NA,""
"122","0","3","male",30,0,0,8.05,"S","Mr",NA,""
"123","0","2","male",32.5,1,0,30.0708,"C","Mr",NA,""
"124","1","2","female",32.5,0,0,13,"S","Miss",NA,"E"
"125","0","1","male",54,0,1,77.2875,"S","Mr",NA,"D"
"126","1","3","male",12,1,0,11.2417,"C","Master",NA,""
"127","0","3","male",30,0,0,7.75,"Q","Mr",NA,""
"128","1","3","male",24,0,0,7.1417,"S","Mr",NA,""
"129","1","3","female",22,1,1,22.3583,"C","Miss",NA,"F"
"130","0","3","male",45,0,0,6.975,"S","Mr",NA,""
"131","0","3","male",33,0,0,7.8958,"C","Mr",NA,""
"132","0","3","male",20,0,0,7.05,"S","Mr",NA,""
"133","0","3","female",47,1,0,14.5,"S","Mrs",NA,""
"134","1","2","female",29,1,0,26,"S","Mrs",NA,""
"135","0","2","male",25,0,0,13,"S","Mr",NA,""
"136","0","2","male",23,0,0,15.0458,"C","Mr",NA,""
"137","1","1","female",19,0,2,26.2833,"S","Miss",NA,"D"
"138","0","1","male",37,1,0,53.1,"S","Mr",NA,"C"
"139","0","3","male",16,0,0,9.2167,"S","Mr",NA,""
"140","0","1","male",24,0,0,79.2,"C","Mr",NA,"B"
"141","0","3","female",35,0,2,15.2458,"C","Mrs",NA,""
"142","1","3","female",22,0,0,7.75,"S","Miss",NA,""
"143","1","3","female",24,1,0,15.85,"S","Mrs",NA,""
"144","0","3","male",19,0,0,6.75,"Q","Mr",NA,""
"145","0","2","male",18,0,0,11.5,"S","Mr",NA,""
"146","0","2","male",19,1,1,36.75,"S","Mr",NA,""
"147","1","3","male",27,0,0,7.7958,"S","Mr",NA,""
"148","0","3","female",9,2,2,34.375,"S","Miss",NA,""
"149","0","2","male",36.5,0,2,26,"S","Mr",NA,"F"
"150","0","2","male",42,0,0,13,"S","Mr",NA,""
"151","0","2","male",51,0,0,12.525,"S","Mr",NA,""
"152","1","1","female",22,1,0,66.6,"S","Mrs",NA,"C"
"153","0","3","male",55.5,0,0,8.05,"S","Mr",NA,""
"154","0","3","male",40.5,0,2,14.5,"S","Mr",NA,""
"155","0","3","male",30,0,0,7.3125,"S","Mr",NA,""
"156","0","1","male",51,0,1,61.3792,"C","Mr",NA,""
"157","1","3","female",16,0,0,7.7333,"Q","Miss",NA,""
"158","0","3","male",30,0,0,8.05,"S","Mr",NA,""
"159","0","3","male",30,0,0,8.6625,"S","Mr",NA,""
"160","0","3","male",3.5,8,2,69.55,"S","Master",NA,""
"161","0","3","male",44,0,1,16.1,"S","Mr",NA,""
"162","1","2","female",40,0,0,15.75,"S","Mrs",NA,""
"163","0","3","male",26,0,0,7.775,"S","Mr",NA,""
"164","0","3","male",17,0,0,8.6625,"S","Mr",NA,""
"165","0","3","male",1,4,1,39.6875,"S","Master",NA,""
"166","1","3","male",9,0,2,20.525,"S","Master",NA,""
"167","1","1","female",35,0,1,55,"S","Mrs",NA,"E"
"168","0","3","female",45,1,4,27.9,"S","Mrs",NA,""
"169","0","1","male",30,0,0,25.925,"S","Mr",NA,""
"170","0","3","male",28,0,0,56.4958,"S","Mr",NA,""
"171","0","1","male",61,0,0,33.5,"S","Mr",NA,"B"
"172","0","3","male",4,4,1,29.125,"Q","Master",NA,""
"173","1","3","female",1,1,1,11.1333,"S","Miss",NA,""
"174","0","3","male",21,0,0,7.925,"S","Mr",NA,""
"175","0","1","male",56,0,0,30.6958,"C","Mr",NA,"A"
"176","0","3","male",18,1,1,7.8542,"S","Mr",NA,""
"177","0","3","male",3.5,3,1,25.4667,"S","Master",NA,""
"178","0","1","female",50,0,0,28.7125,"C","Miss",NA,"C"
"179","0","2","male",30,0,0,13,"S","Mr",NA,""
"180","0","3","male",36,0,0,0,"S","Mr",NA,""
"181","0","3","female",22,8,2,69.55,"S","Miss",NA,""
"182","0","2","male",30,0,0,15.05,"C","Mr",NA,""
"183","0","3","male",9,4,2,31.3875,"S","Master",NA,""
"184","1","2","male",1,2,1,39,"S","Master",NA,"F"
"185","1","3","female",4,0,2,22.025,"S","Miss",NA,""
"186","0","1","male",30,0,0,50,"S","Mr",NA,"A"
"187","1","3","female",35,1,0,15.5,"Q","Mrs",NA,""
"188","1","1","male",45,0,0,26.55,"S","Mr",NA,""
"189","0","3","male",40,1,1,15.5,"Q","Mr",NA,""
"190","0","3","male",36,0,0,7.8958,"S","Mr",NA,""
"191","1","2","female",32,0,0,13,"S","Mrs",NA,""
"192","0","2","male",19,0,0,13,"S","Mr",NA,""
"193","1","3","female",19,1,0,7.8542,"S","Miss",NA,""
"194","1","2","male",3,1,1,26,"S","Master",NA,"F"
"195","1","1","female",44,0,0,27.7208,"C","Mrs",NA,"B"
"196","1","1","female",58,0,0,146.5208,"C","Miss",NA,"B"
"197","0","3","male",30,0,0,7.75,"Q","Mr",NA,""
"198","0","3","male",42,0,1,8.4042,"S","Mr",NA,""
"199","1","3","female",22,0,0,7.75,"Q","Miss",NA,""
"200","0","2","female",24,0,0,13,"S","Miss",NA,""
"201","0","3","male",28,0,0,9.5,"S","Mr",NA,""
"202","0","3","male",30,8,2,69.55,"S","Mr",NA,""
"203","0","3","male",34,0,0,6.4958,"S","Mr",NA,""
"204","0","3","male",45.5,0,0,7.225,"C","Mr",NA,""
"205","1","3","male",18,0,0,8.05,"S","Mr",NA,""
"206","0","3","female",2,0,1,10.4625,"S","Miss",NA,"G"
"207","0","3","male",32,1,0,15.85,"S","Mr",NA,""
"208","1","3","male",26,0,0,18.7875,"C","Mr",NA,""
"209","1","3","female",16,0,0,7.75,"Q","Miss",NA,""
"210","1","1","male",40,0,0,31,"C","Mr",NA,"A"
"211","0","3","male",24,0,0,7.05,"S","Mr",NA,""
"212","1","2","female",35,0,0,21,"S","Miss",NA,""
"213","0","3","male",22,0,0,7.25,"S","Mr",NA,""
"214","0","2","male",30,0,0,13,"S","Mr",NA,""
"215","0","3","male",30,1,0,7.75,"Q","Mr",NA,""
"216","1","1","female",31,1,0,113.275,"C","Miss",NA,"D"
"217","1","3","female",27,0,0,7.925,"S","Miss",NA,""
"218","0","2","male",42,1,0,27,"S","Mr",NA,""
"219","1","1","female",32,0,0,76.2917,"C","Miss",NA,"D"
"220","0","2","male",30,0,0,10.5,"S","Mr",NA,""
"221","1","3","male",16,0,0,8.05,"S","Mr",NA,""
"222","0","2","male",27,0,0,13,"S","Mr",NA,""
"223","0","3","male",51,0,0,8.05,"S","Mr",NA,""
"224","0","3","male",30,0,0,7.8958,"S","Mr",NA,""
"225","1","1","male",38,1,0,90,"S","Mr",NA,"C"
"226","0","3","male",22,0,0,9.35,"S","Mr",NA,""
"227","1","2","male",19,0,0,10.5,"S","Mr",NA,""
"228","0","3","male",20.5,0,0,7.25,"S","Mr",NA,""
"229","0","2","male",18,0,0,13,"S","Mr",NA,""
"230","0","3","female",22,3,1,25.4667,"S","Miss",NA,""
"231","1","1","female",35,1,0,83.475,"S","Mrs",NA,"C"
"232","0","3","male",29,0,0,7.775,"S","Mr",NA,""
"233","0","2","male",59,0,0,13.5,"S","Mr",NA,""
"234","1","3","female",5,4,2,31.3875,"S","Miss",NA,""
"235","0","2","male",24,0,0,10.5,"S","Mr",NA,""
"236","0","3","female",22,0,0,7.55,"S","Miss",NA,""
"237","0","2","male",44,1,0,26,"S","Mr",NA,""
"238","1","2","female",8,0,2,26.25,"S","Miss",NA,""
"239","0","2","male",19,0,0,10.5,"S","Mr",NA,""
"240","0","2","male",33,0,0,12.275,"S","Mr",NA,""
"241","0","3","female",22,1,0,14.4542,"C","Miss",NA,""
"242","1","3","female",22,1,0,15.5,"Q","Miss",NA,""
"243","0","2","male",29,0,0,10.5,"S","Mr",NA,""
"244","0","3","male",22,0,0,7.125,"S","Mr",NA,""
"245","0","3","male",30,0,0,7.225,"C","Mr",NA,""
"246","0","1","male",44,2,0,90,"Q","Mr",NA,"C"
"247","0","3","female",25,0,0,7.775,"S","Miss",NA,""
"248","1","2","female",24,0,2,14.5,"S","Mrs",NA,""
"249","1","1","male",37,1,1,52.5542,"S","Mr",NA,"D"
"250","0","2","male",54,1,0,26,"S","Mr",NA,""
"251","0","3","male",30,0,0,7.25,"S","Mr",NA,""
"252","0","3","female",29,1,1,10.4625,"S","Mrs",NA,"G"
"253","0","1","male",62,0,0,26.55,"S","Mr",NA,"C"
"254","0","3","male",30,1,0,16.1,"S","Mr",NA,""
"255","0","3","female",41,0,2,20.2125,"S","Mrs",NA,""
"256","1","3","female",29,0,2,15.2458,"C","Mrs",NA,""
"257","1","1","female",35,0,0,79.2,"C","Mrs",NA,""
"258","1","1","female",30,0,0,86.5,"S","Miss",NA,"B"
"259","1","1","female",35,0,0,512.3292,"C","Miss",NA,""
"260","1","2","female",50,0,1,26,"S","Mrs",NA,""
"261","0","3","male",30,0,0,7.75,"Q","Mr",NA,""
"262","1","3","male",3,4,2,31.3875,"S","Master",NA,""
"263","0","1","male",52,1,1,79.65,"S","Mr",NA,"E"
"264","0","1","male",40,0,0,0,"S","Mr",NA,"B"
"265","0","3","female",22,0,0,7.75,"Q","Miss",NA,""
"266","0","2","male",36,0,0,10.5,"S","Mr",NA,""
"267","0","3","male",16,4,1,39.6875,"S","Mr",NA,""
"268","1","3","male",25,1,0,7.775,"S","Mr",NA,""
"269","1","1","female",58,0,1,153.4625,"S","Mrs",NA,"C"
"270","1","1","female",35,0,0,135.6333,"S","Miss",NA,"C"
"271","0","1","male",30,0,0,31,"S","Mr",NA,""
"272","1","3","male",25,0,0,0,"S","Mr",NA,""
"273","1","2","female",41,0,1,19.5,"S","Mrs",NA,""
"274","0","1","male",37,0,1,29.7,"C","Mr",NA,"C"
"275","1","3","female",22,0,0,7.75,"Q","Miss",NA,""
"276","1","1","female",63,1,0,77.9583,"S","Miss",NA,"D"
"277","0","3","female",45,0,0,7.75,"S","Miss",NA,""
"278","0","2","male",30,0,0,0,"S","Mr",NA,""
"279","0","3","male",7,4,1,29.125,"Q","Master",NA,""
"280","1","3","female",35,1,1,20.25,"S","Mrs",NA,""
"281","0","3","male",65,0,0,7.75,"Q","Mr",NA,""
"282","0","3","male",28,0,0,7.8542,"S","Mr",NA,""
"283","0","3","male",16,0,0,9.5,"S","Mr",NA,""
"284","1","3","male",19,0,0,8.05,"S","Mr",NA,""
"285","0","1","male",30,0,0,26,"S","Mr",NA,"A"
"286","0","3","male",33,0,0,8.6625,"C","Mr",NA,""
"287","1","3","male",30,0,0,9.5,"S","Mr",NA,""
"288","0","3","male",22,0,0,7.8958,"S","Mr",NA,""
"289","1","2","male",42,0,0,13,"S","Mr",NA,""
"290","1","3","female",22,0,0,7.75,"Q","Miss",NA,""
"291","1","1","female",26,0,0,78.85,"S","Miss",NA,""
"292","1","1","female",19,1,0,91.0792,"C","Mrs",NA,"B"
"293","0","2","male",36,0,0,12.875,"C","Mr",NA,"D"
"294","0","3","female",24,0,0,8.85,"S","Miss",NA,""
"295","0","3","male",24,0,0,7.8958,"S","Mr",NA,""
"296","0","1","male",30,0,0,27.7208,"C","Mr",NA,""
"297","0","3","male",23.5,0,0,7.2292,"C","Mr",NA,""
"298","0","1","female",2,1,2,151.55,"S","Miss",NA,"C"
"299","1","1","male",30,0,0,30.5,"S","Mr",NA,"C"
"300","1","1","female",50,0,1,247.5208,"C","Mrs",NA,"B"
"301","1","3","female",22,0,0,7.75,"Q","Miss",NA,""
"302","1","3","male",30,2,0,23.25,"Q","Mr",NA,""
"303","0","3","male",19,0,0,0,"S","Mr",NA,""
"304","1","2","female",22,0,0,12.35,"Q","Miss",NA,"E"
"305","0","3","male",30,0,0,8.05,"S","Mr",NA,""
"306","1","1","male",0.92,1,2,151.55,"S","Master",NA,"C"
"307","1","1","female",22,0,0,110.8833,"C","Miss",NA,""
"308","1","1","female",17,1,0,108.9,"C","Mrs",NA,"C"
"309","0","2","male",30,1,0,24,"C","Mr",NA,""
"310","1","1","female",30,0,0,56.9292,"C","Miss",NA,"E"
"311","1","1","female",24,0,0,83.1583,"C","Miss",NA,"C"
"312","1","1","female",18,2,2,262.375,"C","Miss",NA,"B"
"313","0","2","female",26,1,1,26,"S","Mrs",NA,""
"314","0","3","male",28,0,0,7.8958,"S","Mr",NA,""
"315","0","2","male",43,1,1,26.25,"S","Mr",NA,""
"316","1","3","female",26,0,0,7.8542,"S","Miss",NA,""
"317","1","2","female",24,1,0,26,"S","Mrs",NA,""
"318","0","2","male",54,0,0,14,"S","Mr",NA,""
"319","1","1","female",31,0,2,164.8667,"S","Miss",NA,"C"
"320","1","1","female",40,1,1,134.5,"C","Mrs",NA,"E"
"321","0","3","male",22,0,0,7.25,"S","Mr",NA,""
"322","0","3","male",27,0,0,7.8958,"S","Mr",NA,""
"323","1","2","female",30,0,0,12.35,"Q","Miss",NA,""
"324","1","2","female",22,1,1,29,"S","Mrs",NA,""
"325","0","3","male",30,8,2,69.55,"S","Mr",NA,""
"326","1","1","female",36,0,0,135.6333,"C","Miss",NA,"C"
"327","0","3","male",61,0,0,6.2375,"S","Mr",NA,""
"328","1","2","female",36,0,0,13,"S","Mrs",NA,"D"
"329","1","3","female",31,1,1,20.525,"S","Mrs",NA,""
"330","1","1","female",16,0,1,57.9792,"C","Miss",NA,"B"
"331","1","3","female",22,2,0,23.25,"Q","Miss",NA,""
"332","0","1","male",45.5,0,0,28.5,"S","Mr",NA,"C"
"333","0","1","male",38,0,1,153.4625,"S","Mr",NA,"C"
"334","0","3","male",16,2,0,18,"S","Mr",NA,""
"335","1","1","female",35,1,0,133.65,"S","Mrs",NA,""
"336","0","3","male",30,0,0,7.8958,"S","Mr",NA,""
"337","0","1","male",29,1,0,66.6,"S","Mr",NA,"C"
"338","1","1","female",41,0,0,134.5,"C","Miss",NA,"E"
"339","1","3","male",45,0,0,8.05,"S","Mr",NA,""
"340","0","1","male",45,0,0,35.5,"S","Mr",NA,"T"
"341","1","2","male",2,1,1,26,"S","Master",NA,"F"
"342","1","1","female",24,3,2,263,"S","Miss",NA,"C"
"343","0","2","male",28,0,0,13,"S","Mr",NA,""
"344","0","2","male",25,0,0,13,"S","Mr",NA,""
"345","0","2","male",36,0,0,13,"S","Mr",NA,""
"346","1","2","female",24,0,0,13,"S","Miss",NA,"F"
"347","1","2","female",40,0,0,13,"S","Miss",NA,""
"348","1","3","female",35,1,0,16.1,"S","Mrs",NA,""
"349","1","3","male",3,1,1,15.9,"S","Master",NA,""
"350","0","3","male",42,0,0,8.6625,"S","Mr",NA,""
"351","0","3","male",23,0,0,9.225,"S","Mr",NA,""
"352","0","1","male",30,0,0,35,"S","Mr",NA,"C"
"353","0","3","male",15,1,1,7.2292,"C","Mr",NA,""
"354","0","3","male",25,1,0,17.8,"S","Mr",NA,""
"355","0","3","male",30,0,0,7.225,"C","Mr",NA,""
"356","0","3","male",28,0,0,9.5,"S","Mr",NA,""
"357","1","1","female",22,0,1,55,"S","Miss",NA,"E"
"358","0","2","female",38,0,0,13,"S","Miss",NA,""
"359","1","3","female",22,0,0,7.8792,"Q","Miss",NA,""
"360","1","3","female",22,0,0,7.8792,"Q","Miss",NA,""
"361","0","3","male",40,1,4,27.9,"S","Mr",NA,""
"362","0","2","male",29,1,0,27.7208,"C","Mr",NA,""
"363","0","3","female",45,0,1,14.4542,"C","Mrs",NA,""
"364","0","3","male",35,0,0,7.05,"S","Mr",NA,""
"365","0","3","male",30,1,0,15.5,"Q","Mr",NA,""
"366","0","3","male",30,0,0,7.25,"S","Mr",NA,""
"367","1","1","female",60,1,0,75.25,"C","Mrs",NA,"D"
"368","1","3","female",35,0,0,7.2292,"C","Mrs",NA,""
"369","1","3","female",22,0,0,7.75,"Q","Miss",NA,""
"370","1","1","female",24,0,0,69.3,"C","Miss",NA,"B"
"371","1","1","male",25,1,0,55.4417,"C","Mr",NA,"E"
"372","0","3","male",18,1,0,6.4958,"S","Mr",NA,""
"373","0","3","male",19,0,0,8.05,"S","Mr",NA,""
"374","0","1","male",22,0,0,135.6333,"C","Mr",NA,""
"375","0","3","female",3,3,1,21.075,"S","Miss",NA,""
"376","1","1","female",35,1,0,82.1708,"C","Mrs",NA,""
"377","1","3","female",22,0,0,7.25,"S","Miss",NA,""
"378","0","1","male",27,0,2,211.5,"C","Mr",NA,"C"
"379","0","3","male",20,0,0,4.0125,"C","Mr",NA,""
"380","0","3","male",19,0,0,7.775,"S","Mr",NA,""
"381","1","1","female",42,0,0,227.525,"C","Miss",NA,""
"382","1","3","female",1,0,2,15.7417,"C","Miss",NA,""
"383","0","3","male",32,0,0,7.925,"S","Mr",NA,""
"384","1","1","female",35,1,0,52,"S","Mrs",NA,""
"385","0","3","male",30,0,0,7.8958,"S","Mr",NA,""
"386","0","2","male",18,0,0,73.5,"S","Mr",NA,""
"387","0","3","male",1,5,2,46.9,"S","Master",NA,""
"388","1","2","female",36,0,0,13,"S","Miss",NA,""
"389","0","3","male",30,0,0,7.7292,"Q","Mr",NA,""
"390","1","2","female",17,0,0,12,"C","Miss",NA,""
"391","1","1","male",36,1,2,120,"S","Mr",NA,"B"
"392","1","3","male",21,0,0,7.7958,"S","Mr",NA,""
"393","0","3","male",28,2,0,7.925,"S","Mr",NA,""
"394","1","1","female",23,1,0,113.275,"C","Miss",NA,"D"
"395","1","3","female",24,0,2,16.7,"S","Mrs",NA,"G"
"396","0","3","male",22,0,0,7.7958,"S","Mr",NA,""
"397","0","3","female",31,0,0,7.8542,"S","Miss",NA,""
"398","0","2","male",46,0,0,26,"S","Mr",NA,""
"399","0","2","male",23,0,0,10.5,"S","Mr",NA,""
"400","1","2","female",28,0,0,12.65,"S","Mrs",NA,""
"401","1","3","male",39,0,0,7.925,"S","Mr",NA,""
"402","0","3","male",26,0,0,8.05,"S","Mr",NA,""
"403","0","3","female",21,1,0,9.825,"S","Miss",NA,""
"404","0","3","male",28,1,0,15.85,"S","Mr",NA,""
"405","0","3","female",20,0,0,8.6625,"S","Miss",NA,""
"406","0","2","male",34,1,0,21,"S","Mr",NA,""
"407","0","3","male",51,0,0,7.75,"S","Mr",NA,""
"408","1","2","male",3,1,1,18.75,"S","Master",NA,""
"409","0","3","male",21,0,0,7.775,"S","Mr",NA,""
"410","0","3","female",22,3,1,25.4667,"S","Miss",NA,""
"411","0","3","male",30,0,0,7.8958,"S","Mr",NA,""
"412","0","3","male",30,0,0,6.8583,"Q","Mr",NA,""
"413","1","1","female",33,1,0,90,"Q","Miss",NA,"C"
"414","0","2","male",30,0,0,0,"S","Mr",NA,""
"415","1","3","male",44,0,0,7.925,"S","Mr",NA,""
"416","0","3","female",35,0,0,8.05,"S","Mrs",NA,""
"417","1","2","female",34,1,1,32.5,"S","Mrs",NA,""
"418","1","2","female",18,0,2,13,"S","Miss",NA,""
"419","0","2","male",30,0,0,13,"S","Mr",NA,""
"420","0","3","female",10,0,2,24.15,"S","Miss",NA,""
"421","0","3","male",30,0,0,7.8958,"C","Mr",NA,""
"422","0","3","male",21,0,0,7.7333,"Q","Mr",NA,""
"423","0","3","male",29,0,0,7.875,"S","Mr",NA,""
"424","0","3","female",28,1,1,14.4,"S","Mrs",NA,""
"425","0","3","male",18,1,1,20.2125,"S","Mr",NA,""
"426","0","3","male",30,0,0,7.25,"S","Mr",NA,""
"427","1","2","female",28,1,0,26,"S","Mrs",NA,""
"428","1","2","female",19,0,0,26,"S","Miss",NA,""
"429","0","3","male",30,0,0,7.75,"Q","Mr",NA,""
"430","1","3","male",32,0,0,8.05,"S","Mr",NA,"E"
"431","1","1","male",28,0,0,26.55,"S","Mr",NA,"C"
"432","1","3","female",35,1,0,16.1,"S","Mrs",NA,""
"433","1","2","female",42,1,0,26,"S","Mrs",NA,""
"434","0","3","male",17,0,0,7.125,"S","Mr",NA,""
"435","0","1","male",50,1,0,55.9,"S","Mr",NA,"E"
"436","1","1","female",14,1,2,120,"S","Miss",NA,"B"
"437","0","3","female",21,2,2,34.375,"S","Miss",NA,""
"438","1","2","female",24,2,3,18.75,"S","Mrs",NA,""
"439","0","1","male",64,1,4,263,"S","Mr",NA,"C"
